#,ACTIVIDAD ,DESCRIPCION,FECHA REALIZACION,FECHA MAXIMA,ANTIGUO ENCARGADO,NIVEL IMPORTANCIA,VIDEO,MANUAL,Ubicación,Comentario Adic,Notas
1,Reporte Milton,"Este reporte se envia Tina Weaver, en el reporte se muestra los valores de INTERNET y DirectTV que se deben de pagar*Comisiones* a las propiedad enlistadas como MILTON.",20 de Cada Mes,25-26 de Cada Mes,Yerson Quintan / Costumer,Critico,SI,SI,,,Lizeth
2,CSF,"*El reporte de CSF es generado junto con el reporte de MILTON* 
El Reporte de CSF Sale de la base de datos de DirectTV, para acceder a DirecTV se debe de hacer desde un computador remoto, se descarga la Base y este nos permite ver cuanto es lo que nos paga DirecTV por cada propiedad enlistada.",20 de Cada Mes,25-26 de Cada Mes,Yerson Quintan / Costumer,Intermedio,SI,SI,Escritorio ? Reportes ? 20 Day Milton,"Revisar el reporte de Milton, En el Video se explica como se saca el CSF.",Mktg
3,Billing Process,"Proceso se realiza en GLDS, se envia las facturas de cobro formato Email Billing Form  y Fisicas a todos los usuarios en GLDS",05 de Cada Mes,05 de Cada Mes,Eduardo Solanilla,Critico,SI,SI,,,Lizeth
4,PACE Report,"Este proceso lo que nos permite es identificar los usuarios con PACE-DISH y hacer la comparacion con lo que ingresa en GLDS, la idea es que el ingreso sea mayor en GLDS VS lo que se nos cobra en PACE-DISH, Nos permite identificar estos usuarios con los que perdemos dinero, para posterior realizar la cancelacion",15 de Cada Mes,25de Cada Mes,Yerson Quintan,Bajo,SI,SI,Escritorio ? Reportes ? 15 Day PACE,"Este reporte ya no se hace a la fecha. Si llega el reporte, ver el video",Mktg se pasa a servicio
5,Hard Disconect,"Se saca un listado de GLDS, que indica los usuarios por ejecutar el Hard Disconect, este listado se debe de enviar a Customer Service para que ellos se encarguen de hacer el proceso correspondiente.",02 de Cada Mes,03 de Cada Mes,Equipo de Customer Service,Critico,SI,SI,,"Esta a disposicion de CX Service, se envia Videos de como hacer el proceso.",Costumer
6,Physicall Bill Fee Report and Process.,"Se saca un reporte en GLDS, para saber cuales son los usuarios que estan pdte por la colocacion del Physcall Bill Fee y Validamos que tengan todo los cobros de FEE en orden, esto nos garantiza que estemos realizando el cobro adecuado.",20 de Cada Mes,25 de Cada Mes,Yerson Quintan,Bajo-Intermedio,SI,SI,Escritorio ? Reportes ? 5 Day Physical Bill Fee,,
7,Reporte Tarjetas de Credito Vencidas y pronto a vencerse - GLDS,"Tarjetas Vencidas - Este reporte nos permite identificar cuales son las tarjetas de CC vencidas que estan vinculadas a los Usuarios en GLDS, con el fin de que cuando se realice el proceso de Autopayment el dia 28, no se devuelva el pago de estas tarjetas, El listado se envia a Customer Service y al Equipo de IT.",28 de Cada Mes,30 de Cada Mes,Equipo de Customer Service,Bajo-Intermedio,SI,,Escritorio ? Reportes ? Credit Card Exp Date,,Costumer
8,Proceso de Autopayment dia 28,"Esta actividad es el cobro que se realiza el dia 28 a todos los usuarios en GLDS que tienen registrado las tarjetas de credito con Autopaymen, el proceso se debe realizar en la manana, ya que se demora aproximadamente +2 Horas en GLDS y despues toca enviar un Reporte al equipo de ServiceBots el cual envia un mensaje a las transacciones que rebotaron.",28 de cada mes,28 de cada mes,Yerson Quintan,Critico,SI,SI,,,Lizeth
9,Revision Comisiones Chicos del CX Service,"En la APP de 360 se validan las comisiones efectuadas por los chicos del CX service, se mira que los paquetes sean los correctos en GLDS, tambien validamos que el usuario efectuo el pago correspondiente.",Semanalmente,Revisar las comisiones almenos 1 vez a la semana.,,Bajo-Intermedio,SI,,360 View ? Sales ? Sales,,
10,Reunion Revision Seguimiento Gastos IT,"Se realiza una reunion con Yerson Quitian, para poder hacer un seguimiento en detalle a los Gastos de IT, se hace una comparativa con QuickBooks, para ver la variacion entre lo Facturado VS lo contable, se busca optimizar gastos de IT-Mirar cuales Lineas de Cel ya no se usan, cuales son las licensias que ya no se usan ETC.",Semanalmente,Se destina una reunion los miercoles de cada Semana,,Bajo-Intermedio,SI,,,,
